age_months,recovery_2019,recovery_2021,recovery_2021_lower,recover_2021_upper
0,0.01010101,0.01933065,0.013042206,0.028590917
1,0.01010101,0.019681753,0.013252559,0.029139338
2,0.011494253,0.020039232,0.013466306,0.029698278
3,0.011494253,0.020403204,0.0136835,0.03026794
4,0.0125,0.020773787,0.013904196,0.030848529
5,0.0125,0.021151101,0.014128453,0.031440255
6,0.013513514,0.02172996,0.014471637,0.032349193
8,0.014705882,0.02252649,0.014942219,0.033602117
10,0.016129032,0.023352217,0.015428103,0.034903568
12,0.01754386,0.024208213,0.015929786,0.036255427
14,0.018867925,0.025095585,0.016447783,0.037659644
16,0.02,0.026015485,0.016982624,0.039118248
18,0.02173913,0.026969105,0.017534856,0.040633346
20,0.023255814,0.02795768,0.018105046,0.042207126
22,0.024390244,0.028982493,0.018693777,0.04384186
24,0.035714286,0.04151576,0.024989291,0.061696714
60,0.045454545,0.05,0.034482759,0.068965517
